School ID ,VisitorCheckInAndBadges,BuildingAccessControlled,GroundsAccessControlled,MetalDetectors,RandomMetalDetectors,ClosedCampusLunch,RandomDogSniff,ContrabandSweeps,AthleteDrugTesting,ExtracurricularDrugTesting,Uniforms,DressCode,Lockers,SilentAlarms,ClearBags,ElecNotifSystem,StudentPhotoID,ThreatReportingSystem,StaffPhotoID,SecurityCamera,ClassTelephones,TwoWayRadios,LimitedSocialNetwork,ProhibitedPhones,PreventionTraining,PeerMediation,BehavioralModification,StudentCourt,StudentCounseling,RestorativeCircles,IndivMentoringStudents,IndivMentoringAdults,EnrichmentActivities,SocialEmotionalTraining,CommunitySense,ThreatAssessmentTeam,LGBTQGroup,DisabilityGroup,CulturalDiversityGroup,ParentTraining,SchoolParentPrograms,LawEnforcementSchool,LawEnforcementActivities,LawEnforcementProblemParticipation,LawEnforcementPreventionParticipation,LawEnforcementStudentMentoring,LawEnforcementTeaching,LawEnforcementReporting,LawEnforcementDisciplinePolicies,LawEnforcementArrestPolicies,LawEnforcementReportingPolicies,MentalHealthTreatment1,MentalHealthTreatment2,TeacherTrainingClassroomMgmt,TeacherTrainingBullying,TeacherTrainingViolence,TeacherTrainingDA,TeacherTrainingSafety,TeacherTrainingIntervention,TeacherTrainingWarningSigns,TeacherTrainingDAAbuse,TeacherTrainingBehavioralIntervention,TeacherTrainingCrisisPrevention,SchoolShootings,Arrests,HateCrimes,RacialTensions,StudentBullying,StudentSexualHarassment,VerbalAbuse,SexualOrientationHarassment,WidespreadDisorder,GenderIdentityHarassment,ActsofDisrespect,GangActivities,PctLimitedEnglish,PctSpecialEd,PctBelow15Percentile,PctLikelyCollege,PctAcademicAchievement,ClassroomChangeAvg,StudentAreaCrime,SchoolAreaCrime,PctAverageDailyAttendance,TotalDisciplinaryActions,TotalIncidentsReported,TotalIncidentsReportedPolice,TotalSeriousViolentIncidents,TotalSeriousViolentIncidentsPolice,TotalSpecializedTransfers,TotalViolentIncidents,TotalViolentIncidentsPolice,TotalFirearmActions,TotalDrugActions,TotalWeaponActions,TotalDisruptions,TotalFightActions,TotalAlcActions,FTSecurityCount,PTSecurityCount,Urbanicity,GradeLevel,SchoolSize,PctWhiteStudents
39,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,2,5,4,5,4,5,5,5,4,5,0,23,15,65,65,2,3,3,94,1,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,4,1,2,2
41,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,1,0,1,0,0,1,2,5,5,5,4,5,5,5,3,5,9,18,15,20,20,6,2,3,97,4,2,1,0,0,0,2,1,0,0,0,0,4,0,0,0,4,1,2,3
42,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,0,0,0,0,0,0,1,2,4,3,5,4,5,5,5,4,5,30,20,10,80,90,8,3,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3
43,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,2,5,4,5,5,5,5,5,5,5,0,30,25,25,35,4,3,3,96,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,2
44,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,5,4,4,5,4,5,4,4,5,2,9,15,40,75,5,3,3,97,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,2
45,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,NA,NA,NA,0,1,1,1,0,0,1,1,0,0,1,1,0,1,2,4,3,5,4,4,4,5,4,5,14,6,12,80,80,4,3,3,96,2,5,0,0,0,0,2,0,0,0,0,0,2,0,0,1,4,1,2,3
46,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,0,1,0,0,0,1,2,5,4,5,5,5,5,5,4,5,18,7,5,80,98,6,4,3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,4
47,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,1,1,0,1,2,4,4,5,5,5,5,5,4,5,14,5,15,80,85,9,3,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3
48,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,1,0,1,1,1,0,0,0,0,0,0,1,0,1,2,4,4,4,5,5,5,5,4,5,0,34,27,15,15,5,2,2,94,2,3,1,0,0,0,2,0,0,0,0,0,2,0,0,1,4,1,2,2
51,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,NA,NA,0,0,1,1,1,0,1,0,0,0,0,1,0,1,2,5,4,5,5,5,5,5,5,5,3,24,10,90,90,6,3,3,97,1,5,0,0,0,0,4,0,0,0,0,0,1,0,1,1,4,1,2,2
