VisitorCheckInAndBadges,SchoolShootings,Arrests,HateCrimes,RacialTensions,StudentBullying,StudentSexualHarassment,VerbalAbuse,SexualOrientationHarassment,WidespreadDisorder,GenderIdentityHarassment,ActsofDisrespect,GangActivities,PctLimitedEnglish,PctSpecialEd,PctBelow15Percentile,PctLikelyCollege,PctAcademicAchievement,ClassroomChangeAvg,StudentAreaCrime,SchoolAreaCrime,PctAverageDailyAttendance,TotalDisciplinaryActions,TotalIncidentsReported,TotalIncidents,TotalIncidentsReportedPolice,TotalSeriousViolentIncidents,TotalSeriousViolentIncidentsPolice,TotalSpecializedTransfers,TotalViolentIncidents,TotalViolentIncidentsPolice,TotalFirearmActions,TotalDrugActions,TotalWeaponActions,TotalDisruptions,TotalFightActions,TotalAlcActions,FTSecurityCount,PTSecurityCount,Urbanicity,GradeLevel,SchoolSize,PctWhiteStudents,SchoolSecurity,SchoolProceduresRules,SchoolPreventionProgram,SchoolMentalHealthServices,SchoolTrainingProgram
1,0,1,2,5,4,4,4,5,5,5,4,5,0,10,10,70,70,7,4,3,90,8,19,27,4,2,0,0,9,0,0,0,3,0,4,1,0,0,4,4,4,1,5,5,3,1,4
1,0,4,2,4,3,4,4,4,5,5,4,5,1,11,10,80,65,8,3,3,95,20,31,51,16,0,0,10,13,4,3,6,1,0,10,0,1,0,4,4,4,3,7,7,7,1,4
1,0,1,2,5,4,4,5,4,5,5,5,5,0,12,2,75,95,8,3,3,97,2,5,7,2,0,0,0,4,1,0,0,0,0,2,0,2,0,4,4,4,2,8,5,5,1,7
1,0,1,2,5,4,5,5,5,4,5,4,5,1,5,0,99,98,7,4,3,96,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,5,5,11,0,8
1,0,1,2,4,4,4,4,4,4,4,5,5,5,12,40,60,60,6,2,2,90,6,19,25,2,0,0,0,10,1,0,3,0,2,2,1,1,0,2,3,1,3,7,2,15,0,8
1,0,1,2,4,4,4,4,5,5,5,5,5,35,7,25,80,80,5,2,2,93,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,8,2,3,1,4,10,6,10,0,10
0,0,2,2,4,3,4,4,4,5,5,5,5,2,21,20,45,30,8,2,2,90,9,23,32,4,0,0,0,15,1,0,3,0,0,6,0,0,0,2,3,1,1,7,7,8,1,5
0,0,1,2,4,4,4,4,5,4,5,2,5,16,12,40,30,15,6,2,3,90,4,8,12,8,0,0,0,4,4,0,0,0,0,4,0,1,30,2,3,1,2,9,5,10,1,10
1,0,1,2,4,4,5,5,4,5,4,5,5,0,13,4,94,100,7,3,3,95,1,3,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,3,1,3,11,4,15,2,10
1,0,1,2,4,4,4,4,4,5,4,4,5,1,16,3,85,90,8,4,3,97,6,6,12,1,0,0,0,3,1,0,0,0,0,6,0,0,0,2,3,1,3,7,2,7,0,6
